,time,force_mV,displacement_mV,mV
0,1.9553446,,,b'0.00\t403\r\n'
1,0.02384330000000001,,,b'0.00\t403\r\n'
2,0.03963139999999976,,,b'0.00\t404\r\n'
3,0.05557899999999982,,,b'0.00\t403\r\n'
4,0.07077179999999972,,,b'0.00\t403\r\n'
5,0.08673330000000012,,,b'0.00\t403\r\n'
6,0.10238879999999995,,,b'0.00\t403\r\n'
7,0.11712869999999986,,,b'0.00\t403\r\n'
8,0.13241159999999974,,,b'0.20\t403\r\n'
9,0.1485040999999998,,,b'0.20\t404\r\n'
10,0.16387969999999985,,,b'0.20\t403\r\n'
11,0.17960790000000015,,,b'0.20\t403\r\n'
12,0.19515609999999972,,,b'0.40\t403\r\n'
13,0.2112639999999999,,,b'0.40\t403\r\n'
14,0.22730700000000015,,,b'0.60\t403\r\n'
15,0.24312470000000008,,,b'0.60\t403\r\n'
16,0.2581289,,,b'0.60\t403\r\n'
17,0.27382909999999994,,,b'0.60\t403\r\n'
18,0.2902931999999998,,,b'0.40\t403\r\n'
19,0.3058239999999999,,,b'0.40\t404\r\n'
20,0.32075359999999975,,,b'0.60\t403\r\n'
21,0.3360151,,,b'0.60\t403\r\n'
22,0.3513410000000001,,,b'0.40\t403\r\n'
23,0.3664358999999999,,,b'0.40\t403\r\n'
24,0.38240149999999984,,,b'0.20\t403\r\n'
25,0.3982874999999999,,,b'0.20\t403\r\n'
26,0.4136278999999998,,,b'0.40\t403\r\n'
27,0.42972259999999984,,,b'0.40\t403\r\n'
28,0.4444838999999998,,,b'0.40\t403\r\n'
29,0.4602847999999997,,,b'0.60\t403\r\n'
30,0.47659910000000005,,,b'0.40\t403\r\n'
31,0.4931247000000001,,,b'0.40\t404\r\n'
32,0.5086342999999998,,,b'0.40\t403\r\n'
33,0.5249834999999998,,,b'0.40\t403\r\n'
34,0.5396507000000001,,,b'0.40\t403\r\n'
35,0.5551279,,,b'0.40\t403\r\n'
36,0.5709013999999999,,,b'0.40\t404\r\n'
37,0.5872118999999998,,,b'0.60\t403\r\n'
38,0.6036663999999998,,,b'0.60\t403\r\n'
39,0.6198058,,,b'0.40\t403\r\n'
40,0.6350091,,,b'0.40\t403\r\n'
