,time,force_mV,displacement_mV
0,0.3751678,04.33,411
1,0.023071500000000134,8.67,411
2,0.03900830000000011,13.00,411
3,0.054681199999999874,13.00,411
4,0.07094720000000021,13.00,411
5,0.08684880000000006,13.00,412
6,0.10227169999999997,12.00,410
7,0.11797960000000018,12.00,411
8,0.13348840000000028,12.00,411
9,0.14978849999999988,13.00,411
10,0.16532760000000013,13.00,410
11,0.18060940000000003,13.00,410
12,0.1960550000000001,13.00,410
13,0.2113313000000001,13.00,409
14,0.22704250000000026,14.00,409
15,0.24284770000000022,15.00,408
16,0.2591595000000002,15.00,408
17,0.27446000000000015,14.00,407
18,0.2897924000000003,14.00,407
19,0.30560429999999994,15.00,406
20,0.32124030000000015,16.00,405
21,0.3368352000000001,15.00,405
22,0.35234920000000014,14.00,404
23,0.367561,14.00,404
24,0.38339920000000016,15.00,403
25,0.3986004000000001,16.00,402
26,0.41352619999999995,16.00,402
27,0.42884159999999993,16.67,401
28,0.44488510000000026,16.67,400
29,0.4601481000000003,16.67,399
30,0.47591130000000015,16.00,399
31,0.4915062000000001,16.00,398
32,0.5079955999999999,16.00,397
33,0.5237653000000002,16.67,396
34,0.5389796,16.67,396
35,0.5549850000000001,16.67,394
36,0.5705191000000001,16.00,394
37,0.5866676,16.00,392
38,0.6019015000000001,16.00,391
39,0.6180022000000001,16.00,391
40,0.6332103000000002,16.00,390
41,0.6490310000000001,16.00,389
42,0.6648142000000001,16.00,389
43,0.6800415,16.00,388
44,0.6956846000000001,16.00,387
45,0.7115448000000002,16.00,386
46,0.7275242000000002,16.00,385
47,0.7431109000000002,16.67,385
48,0.7585359000000003,17.33,384
49,0.7740939000000002,18.00,383
50,0.790154,17.33,383
51,0.8061456,17.33,382
52,0.8218724,16.67,381
53,0.8378174000000003,16.67,380
54,0.8538246,16.00,378
55,0.8699045000000003,16.67,378
56,0.8856567,17.33,377
57,0.9009196000000002,18.00,376
58,0.9168086000000002,18.00,376
59,0.9324250000000001,18.00,375
60,0.9476443000000001,17.33,373
61,0.9638614999999999,16.67,372
62,0.9797942,16.67,371
63,0.9952391000000003,17.33,370
64,1.0108522000000002,17.33,370
65,1.0260302,17.33,369
66,1.0415991000000002,16.67,368
67,1.0576448,16.67,367
68,1.0727994000000003,16.00,366
69,1.0877938000000003,16.00,365
70,1.1037808000000002,16.00,365
71,1.1199061,16.67,363
72,1.1353593,17.33,363
73,1.1508133999999999,18.00,363
74,1.1664501000000003,18.00,363
75,1.1815762,18.00,363
76,1.1974913999999999,18.00,363
77,1.2124699,18.00,363
78,1.2283496000000003,18.00,363
79,1.244546,18.00,363
80,1.2599931000000002,18.00,363
81,1.2760097000000001,17.33,363
82,1.2914736,16.67,363
83,1.3072342000000001,16.00,363
84,1.3230285000000002,16.00,363
85,1.3387491,15.00,363
86,1.3544287,14.00,363
87,1.3696001000000002,13.00,363
88,1.3851621000000003,13.00,363
89,1.4003941,13.00,363
90,1.415812,13.00,363
91,1.4312392,13.00,363
92,1.4465417000000003,13.00,364
93,1.4621841000000002,13.00,363
94,1.4776919000000002,13.00,363
95,1.4935281999999999,13.00,363
96,1.5093415,12.00,363
97,1.5246979000000003,11.00,363
98,1.5407491,10.00,363
99,1.5562927,10.00,363
100,1.5715149000000002,10.00,363
101,1.5869361000000002,10.00,363
102,1.6024603,10.00,363
103,1.6177396,10.00,363
104,1.6333296,9.33,363
105,1.6487399999999999,8.67,363
106,1.6641624000000002,8.67,363
107,1.6795708000000003,8.67,363
108,1.6956431,8.67,363
109,1.7111827,8.00,363
110,1.7267335000000001,8.00,363
111,1.7427614000000002,7.00,363
112,1.7587924000000001,6.00,363
113,1.774532,5.00,363
114,1.7899443,5.00,363
115,1.8055294,5.00,363
116,1.8212020000000002,5.00,363
117,1.8371316,5.00,363
118,1.8526391,4.00,363
119,1.8679487000000001,4.00,363
120,1.8835912,3.00,363
121,1.8995105,3.00,363
122,1.9147412000000001,2.00,363
123,1.9299195000000002,2.00,363
124,1.9446976000000002,2.00,363
125,1.9605397000000002,2.00,363
126,1.9765569,2.00,363
127,1.9922716000000003,2.00,363
128,2.0075130999999997,2.00,363
129,2.0234392999999997,2.00,363
130,2.0386472000000007,2.00,364
131,2.0541444,2.00,365
132,2.0694955000000004,2.00,365
133,2.0848624000000004,2.00,365
134,2.100028,2.00,366
135,2.1157402000000003,2.00,367
136,2.130916,3.00,368
137,2.1461651,3.00,368
138,2.1625445,3.00,369
139,2.1782118000000006,2.00,370
140,2.1940695000000003,2.00,371
141,2.2097666,2.00,371
142,2.2254796,2.00,373
143,2.2412659,2.00,373
144,2.2564688000000004,2.00,375
145,2.2719000000000005,2.00,375
146,2.2874243000000005,2.00,376
147,2.3033538,2.00,377
148,2.3182029,3.00,379
149,2.3341541,3.00,379
150,2.3502283000000004,3.00,381
151,2.3655701000000002,2.00,381
152,2.3819555,2.00,382
153,2.3976071,2.00,382
154,2.4133012000000003,2.00,384
155,2.4287319000000007,2.00,385
156,2.4435590000000005,2.00,386
157,2.4592316000000007,2.00,387
158,2.4739586000000005,2.00,387
159,2.4898812,2.00,388
160,2.5058694,2.00,389
161,2.5219734000000003,2.00,391
162,2.5375365,2.00,391
163,2.5533957000000003,2.00,392
164,2.5686319000000006,2.00,393
165,2.5836404,2.00,393
166,2.5988157000000003,2.00,394
167,2.6147774000000004,2.00,395
168,2.6302826,2.00,396
169,2.6464929,2.00,397
170,2.6613024000000003,2.00,397
171,2.6768375000000004,2.00,398
172,2.6920944,2.00,399
173,2.7077195000000005,2.00,400
174,2.7230764,2.00,401
